video_id,movie_title,movie_caption,movie_synopsis,question_id,question,correct_answer,option_0,option_1,option_2,option_3,option_4,video_path
deO_t3kOSFY,LAMBING SEASON,A young man uncovers a disturbing truth about himself.,"
Joe, a young man growing up in the secluded North Yorkshire moors of England, discovers he might be the potential victim of a child kidnapping -- and his parents may not be who they seem.

This tense, disquieting short thriller may be only 17 minutes long, but with its taut pace and edgy tension, it packs an incredible amount of suspense and drama, luring viewers in with a mysterious premise and keeping them hooked as secrets unravel the deeper into the story they go.
",deO_t3kOSFY_01,Where is Joe growing up?,3,Joe is growing up on the Cornish coast of England.,Joe is growing up in the rural Lake District of England.,Joe is growing up in the Scottish Highlands.,Joe is growing up in the secluded North Yorkshire moors of England.,Joe is growing up in the bustling streets of London.,https://www.youtube.com/watch?v=deO_t3kOSFY
deO_t3kOSFY,LAMBING SEASON,A young man uncovers a disturbing truth about himself.,"
Joe, a young man growing up in the secluded North Yorkshire moors of England, discovers he might be the potential victim of a child kidnapping -- and his parents may not be who they seem.

This tense, disquieting short thriller may be only 17 minutes long, but with its taut pace and edgy tension, it packs an incredible amount of suspense and drama, luring viewers in with a mysterious premise and keeping them hooked as secrets unravel the deeper into the story they go.
",deO_t3kOSFY_02,What does Joe suspect about his childhood?,3,He suspects his parents are undercover spies.,He suspects his life is part of a witness protection program.,He suspects he has a twin brother who was separated at birth.,He suspects he might be the victim of a child kidnapping.,He suspects he is the lost heir to a hidden fortune.,https://www.youtube.com/watch?v=deO_t3kOSFY
deO_t3kOSFY,LAMBING SEASON,A young man uncovers a disturbing truth about himself.,"
Joe, a young man growing up in the secluded North Yorkshire moors of England, discovers he might be the potential victim of a child kidnapping -- and his parents may not be who they seem.

This tense, disquieting short thriller may be only 17 minutes long, but with its taut pace and edgy tension, it packs an incredible amount of suspense and drama, luring viewers in with a mysterious premise and keeping them hooked as secrets unravel the deeper into the story they go.
",deO_t3kOSFY_03,Why does Joe start having suspicions?,3,He discovered old photographs that didn't match his childhood memories,A mysterious stranger told him about his past.,He found a hidden diary in his parents' bedroom.,He saw his face on TV.,He received an anonymous letter with clues about his identity.,https://www.youtube.com/watch?v=deO_t3kOSFY
deO_t3kOSFY,LAMBING SEASON,A young man uncovers a disturbing truth about himself.,"
Joe, a young man growing up in the secluded North Yorkshire moors of England, discovers he might be the potential victim of a child kidnapping -- and his parents may not be who they seem.

This tense, disquieting short thriller may be only 17 minutes long, but with its taut pace and edgy tension, it packs an incredible amount of suspense and drama, luring viewers in with a mysterious premise and keeping them hooked as secrets unravel the deeper into the story they go.
",deO_t3kOSFY_04,How does Joe view his parents after watching the TV?,2,He starts to believe his parents are hiding a treasure.,He doubts his parents' love and questions their intentions towards him.,He starts to suspect that his parents may not be his real parents.,He suspects his parents might be part of a criminal gang.,He begins to wonder if his parents are supernatural beings.,https://www.youtube.com/watch?v=deO_t3kOSFY
deO_t3kOSFY,LAMBING SEASON,A young man uncovers a disturbing truth about himself.,"
Joe, a young man growing up in the secluded North Yorkshire moors of England, discovers he might be the potential victim of a child kidnapping -- and his parents may not be who they seem.

This tense, disquieting short thriller may be only 17 minutes long, but with its taut pace and edgy tension, it packs an incredible amount of suspense and drama, luring viewers in with a mysterious premise and keeping them hooked as secrets unravel the deeper into the story they go.
",deO_t3kOSFY_05,How does Joe view his parents after watching the TV?,2,He begins to wonder if his parents are supernatural beings.,He suspects his parents might be part of a criminal gang.,He starts to suspect that his parents may not be his real parents.,He doubts his parents' love and questions their intentions towards him.,He starts to believe his parents are hiding a treasure.,https://www.youtube.com/watch?v=deO_t3kOSFY
jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"
Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.

But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.
",jmzY3KAkhNc_01,Who is Kelly?,1,Kelly is a dancer.,Kelly is a sex worker.,Kelly is a detective undercover as a sex worker.,Kelly is a barista.,Kelly is a journalist.,https://www.youtube.com/watch?v=jmzY3KAkhNc
jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"
Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.

But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.
",jmzY3KAkhNc_02,What is the relationship between Kelly and Leon?,0,Kelly works for Leon.,Kelly is Leon's business partner.,Leon is Kelly's ex-husband.,Kelly is married to Leon.,Leon is Kelly's brother.,https://www.youtube.com/watch?v=jmzY3KAkhNc
jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"
Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.

But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.
",jmzY3KAkhNc_03,What does Leon promise Kelly about their future?,2,Leon promises Kelly they will move to a new city to start over.,Leon promises Kelly a luxurious vacation to celebrate their success.,Leon promises Kelly that their work arrangement is temporary.,Leon promises Kelly a promotion within their current line of work.,Leon promises to buy Kelly out of her contract.,https://www.youtube.com/watch?v=jmzY3KAkhNc
jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"
Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.

But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.
",jmzY3KAkhNc_04,How does Leon treat Kelly?,4,Leon gifts Kelly books as a gesture of care.,Leon arranges spa days for Kelly to relax.,Leon writes Kelly heartfelt letters.,Leon occasionally takes Kelly out for fancy dinners.,Leon buys Kelly presents for her birthday.,https://www.youtube.com/watch?v=jmzY3KAkhNc
jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"
Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.

But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.
",jmzY3KAkhNc_05,Who is Ben?,0,Ben is a regular client of Kelly who never has sex with her.,Ben is a documentary filmmaker focusing on stories from the Red Light district.,Ben is an old friend of Kelly who tries to help her.,Ben is a social worker assigned to support workers like Kelly.,Ben is a police officer investigating crimes in the Red Light district.,https://www.youtube.com/watch?v=jmzY3KAkhNc
